"ORIT",14.31,14.41,16.84,13.69,602.1M,167975,"2/27/2015","9:51am"
"ORN",10.26,10.29,13.50,8.65,283.2M,115038,"2/27/2015","9:50am"
"OSG",N/A,0.00,N/A,N/A,N/A,0,"N/A","12:00pm"
"OSIS",72.88,72.71,74.79,52.68,1.440B,144036,"2/27/2015","9:30am"
"OXM",54.46,54.43,82.84,50.13,896.6M,129908,"2/27/2015","9:45am"
"OYOG",N/A,0.00,N/A,N/A,N/A,0,"N/A","9:-336am"
"OZRK",36.58,36.46,38.22,27.51,2.914B,580282,"2/27/2015","9:50am"
"PACW",46.82,46.53,48.03,37.63,4.742B,569997,"2/27/2015","9:50am"
"PBH",38.82,38.87,40.85,25.94,2.032B,298234,"2/27/2015","9:50am"
"PBY",8.86,8.82,13.68,8.00,471.9M,313964,"2/27/2015","9:44am"
"PCTI",8.09,8.10,9.30,6.95,147.3M,18084,"2/27/2015","9:49am"
"PDC",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"PEET",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"PEI",22.90,22.72,25.34,16.35,1.568B,654412,"2/27/2015","9:50am"
"PERY",23.58,23.462,27.00,13.43,350.9M,141211,"2/27/2015","9:49am"
"PETD",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"PETS",15.48,15.45,16.45,12.07,309.6M,194402,"2/27/2015","9:48am"
"PFS",18.32,18.27,19.28,16.06,1.142B,197780,"2/27/2015","9:51am"
"PJC",55.16,55.10,59.94,39.40,841.1M,122467,"2/27/2015","9:49am"
"PKE",21.76,21.67,32.46,19.31,453.9M,59112,"2/27/2015","9:42am"
"PKY",17.35,17.36,21.80,16.90,2.002B,848059,"2/27/2015","9:51am"
"PLCE",56.84,56.85,64.16,44.54,1.205B,442489,"2/27/2015","9:50am"
"PLFE",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"PLXS",40.78,40.32,45.53,34.07,1.357B,189782,"2/27/2015","9:49am"
"PMC",24.37,24.72,30.48,19.42,808.9M,365897,"2/27/2015","9:50am"
"PMTI",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"PNFP",41.69,41.47,41.69,32.77,1.482B,128690,"2/27/2015","9:48am"
"PNK",25.99,26.02,27.45,19.66,1.561B,880670,"2/27/2015","9:50am"
"PNY",37.42,37.42,41.09,33.23,2.943B,348744,"2/27/2015","9:48am"
"POL",40.33,40.295,43.34,32.01,3.590B,595570,"2/27/2015","9:49am"
"POOL",69.85,69.50,70.69,51.61,3.019B,204038,"2/27/2015","9:50am"
"POWI",54.90,55.10,68.87,38.07,1.616B,206108,"2/27/2015","9:50am"
"POWL",34.18,33.85,70.75,32.32,408.2M,82379,"2/27/2015","9:50am"
"PPS",56.26,56.07,63.78,47.91,3.056B,420110,"2/27/2015","9:50am"
"PQ",2.95,2.93,7.82,2.85,193.4M,885316,"2/27/2015","9:50am"
"PRA",45.11,45.07,48.34,42.74,2.601B,225134,"2/27/2015","9:51am"
"PRAA",53.66,52.26,65.00,49.43,2.617B,388174,"2/27/2015","9:50am"
"PRFT",19.45,19.29,21.18,14.05,664.0M,125769,"2/27/2015","9:50am"
"PRGS",27.50,27.32,27.79,20.06,1.384B,263352,"2/27/2015","9:50am"
"PRX",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"PRXL",65.265,64.57,65.38,41.79,3.538B,576516,"2/27/2015","9:50am"
"PSB",81.91,82.07,88.92,74.97,2.209B,107923,"2/27/2015","9:40am"
"PSEC",8.62,8.625,11.10,8.02,N/A,3895330,"2/27/2015","9:51am"
"PSEM",15.70,15.6128,15.79,7.20,349.1M,148744,"2/27/2015","9:50am"
"PSSI",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"PULS",1.01,1.01,4.38,0.55,N/A,10208,"2/27/2015","9:48am"
"PVA",6.87,6.77,18.20,4.32,486.0M,4607410,"2/27/2015","9:51am"
"PVTB",34.95,34.75,35.80,25.20,2.717B,610895,"2/27/2015","9:50am"
"PZZA",63.92,62.94,65.96,37.32,2.524B,346615,"2/27/2015","9:51am"
"QCOR",93.60,93.60,97.80,47.71,N/A,1590680,"8/14/2014","3:00pm"
"QNST",6.65,6.57,7.62,3.78,292.3M,156311,"2/27/2015","9:50am"
"QSII",17.42,17.385,18.89,13.01,1.048B,423325,"2/27/2015","9:50am"
"RBCN",4.51,4.52,14.67,3.56,118.1M,345323,"2/27/2015","9:50am"
"RBN",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"RECN",17.99,17.85,18.54,11.84,672.0M,213818,"2/27/2015","9:42am"
"RGR",52.69,53.1892,69.19,33.60,1.034B,375700,"2/27/2015","9:50am"
"RLI",48.98,48.47,50.68,41.71,2.089B,130328,"2/27/2015","9:47am"
"ROCK",15.07,15.08,19.01,12.65,466.0M,78293,"2/27/2015","9:43am"
"ROG",79.78,79.55,82.59,51.40,1.465B,111364,"2/27/2015","9:50am"
"RRGB",84.07,84.035,84.87,47.45,1.180B,240980,"2/27/2015","9:47am"
"RSTI",24.00,23.99,30.39,20.45,673.9M,196011,"2/27/2015","9:47am"
"RSYS",2.37,2.3688,4.59,1.79,86.5M,153367,"2/27/2015","9:46am"
"RT",6.55,6.5099,8.57,5.17,397.1M,494311,"2/27/2015","9:50am"
